RespID,Choice_0,CostL_0,CostR_0,TimeL_0,TimeR_0,Choice_1,CostL_1,CostR_1,TimeL_1,TimeR_1,Choice_2,CostL_2,CostR_2,TimeL_2,TimeR_2,Choice_3,CostL_3,CostR_3,TimeL_3,TimeR_3,Choice_4,CostL_4,CostR_4,TimeL_4,TimeR_4,Choice_5,CostL_5,CostR_5,TimeL_5,TimeR_5,Choice_6,CostL_6,CostR_6,TimeL_6,TimeR_6,Choice_7,CostL_7,CostR_7,TimeL_7,TimeR_7,Choice_8,CostL_8,CostR_8,TimeL_8,TimeR_8,Choice_9,CostL_9,CostR_9,TimeL_9,TimeR_9,Choice_10,CostL_10,CostR_10,TimeL_10,TimeR_10,BaseCost,Gender,AgeClass,Mode,BaseTime,TravTimeClass,Purpose,IncClass
66,1.0,-3.0,0.0,120.0,105.0,2.0,9.0,0.0,105.0,120.0,1.0,0.0,-3.0,105.0,135.0,1.0,0.0,3.75,105.0,90.0,2.0,4.5,0.0,75.0,105.0,2.0,-0.75,0.75,135.0,75.0,1.0,0.0,-3.0,75.0,120.0,1.0,-4.5,0.0,105.0,90.0,2.0,3.0,-3.0,90.0,105.0,1.0,0.0,6.0,120.0,75.0,2.0,-2.25,3.0,135.0,105.0,0,1,2,1,105,3,2,6
68,2.0,3.0,0.0,60.0,80.0,2.0,-0.5,0.5,100.0,60.0,1.0,0.0,-2.0,80.0,100.0,1.0,-3.0,0.0,80.0,70.0,1.0,0.0,-2.0,60.0,90.0,1.0,0.0,4.0,90.0,60.0,1.0,-1.5,2.0,100.0,80.0,2.0,6.0,0.0,80.0,90.0,1.0,0.0,2.5,80.0,70.0,2.0,2.0,-2.0,70.0,80.0,2.0,-2.0,0.0,90.0,80.0,0,1,2,1,80,2,2,6
72,1.0,0.0,5.0,165.0,145.0,1.0,0.0,-4.0,165.0,205.0,2.0,12.0,0.0,165.0,185.0,2.0,-3.0,4.0,205.0,165.0,2.0,0.0,8.0,185.0,125.0,2.0,4.0,-4.0,145.0,165.0,1.0,-6.0,0.0,165.0,145.0,1.0,0.0,-4.0,125.0,185.0,2.0,-1.0,1.0,205.0,125.0,1.0,6.0,0.0,125.0,165.0,2.0,-4.0,0.0,185.0,165.0,0,1,4,1,165,4,2,6
77,2.0,-2.0,0.0,65.0,55.0,1.0,0.0,2.5,55.0,45.0,1.0,0.0,-2.0,55.0,75.0,1.0,3.0,0.0,35.0,55.0,2.0,-0.5,0.5,75.0,35.0,1.0,0.0,-2.0,35.0,65.0,2.0,-3.0,0.0,55.0,45.0,1.0,2.0,-2.0,45.0,55.0,2.0,0.0,4.0,65.0,35.0,2.0,-1.5,2.0,75.0,55.0,1.0,6.0,0.0,55.0,65.0,0,1,2,1,55,2,1,7
78,1.0,0.0,-2.0,40.0,70.0,2.0,6.0,0.0,60.0,70.0,2.0,-1.5,2.0,80.0,60.0,2.0,0.0,4.0,70.0,40.0,1.0,2.0,-2.0,50.0,60.0,2.0,-3.0,0.0,60.0,50.0,2.0,0.0,2.5,60.0,50.0,2.0,-0.5,0.5,80.0,40.0,1.0,3.0,0.0,40.0,60.0,2.0,-2.0,0.0,70.0,60.0,1.0,0.0,-2.0,60.0,80.0,0,2,2,1,60,2,1,5
81,1.0,-3.0,0.0,50.0,40.0,2.0,2.0,-2.0,40.0,50.0,1.0,0.0,4.0,60.0,30.0,1.0,0.0,-2.0,30.0,60.0,1.0,0.0,-2.0,50.0,70.0,2.0,3.0,0.0,30.0,50.0,1.0,0.0,2.5,50.0,40.0,2.0,-2.0,0.0,60.0,50.0,1.0,-1.5,2.0,70.0,50.0,2.0,-0.5,0.5,70.0,30.0,2.0,6.0,0.0,50.0,60.0,0,1,2,1,50,2,3,5
83,2.0,6.0,0.0,60.0,70.0,1.0,0.0,-2.0,60.0,80.0,1.0,-2.0,0.0,70.0,60.0,1.0,0.0,2.5,60.0,50.0,2.0,3.0,0.0,40.0,60.0,2.0,-0.5,0.5,80.0,40.0,1.0,0.0,-2.0,40.0,70.0,2.0,-3.0,0.0,60.0,50.0,2.0,2.0,-2.0,50.0,60.0,2.0,-1.5,2.0,80.0,60.0,1.0,0.0,4.0,70.0,40.0,0,1,2,1,60,2,3,6
86,2.0,-2.0,0.0,70.0,60.0,2.0,3.0,0.0,40.0,60.0,2.0,6.0,0.0,60.0,70.0,2.0,-1.5,2.0,80.0,60.0,2.0,0.0,4.0,70.0,40.0,2.0,2.0,-2.0,50.0,60.0,2.0,-3.0,0.0,60.0,50.0,1.0,0.0,-2.0,60.0,80.0,1.0,0.0,2.5,60.0,50.0,1.0,0.0,-2.0,40.0,70.0,2.0,-0.5,0.5,80.0,40.0,0,1,4,1,60,2,2,8
91,1.0,0.0,-3.0,110.0,140.0,2.0,-0.75,0.75,140.0,80.0,1.0,0.0,3.75,110.0,95.0,1.0,9.0,0.0,110.0,125.0,2.0,-2.25,3.0,140.0,110.0,2.0,0.0,6.0,125.0,80.0,2.0,-4.5,0.0,110.0,95.0,1.0,0.0,-3.0,80.0,125.0,1.0,4.5,0.0,80.0,110.0,2.0,-3.0,0.0,125.0,110.0,1.0,3.0,-3.0,95.0,110.0,0,1,4,1,110,3,2,5
97,2.0,-0.75,1.0,55.0,45.0,2.0,0.0,1.25,45.0,40.0,1.0,1.5,0.0,35.0,45.0,2.0,-0.25,0.25,55.0,35.0,1.0,0.0,-1.0,35.0,50.0,2.0,-1.5,0.0,45.0,40.0,2.0,1.0,-1.0,40.0,45.0,1.0,0.0,2.0,50.0,35.0,2.0,3.0,0.0,45.0,50.0,2.0,-1.0,0.0,50.0,45.0,1.0,0.0,-1.0,45.0,55.0,0,1,4,1,45,1,1,6
99,1.0,0.0,3.75,115.0,100.0,1.0,0.0,-3.0,115.0,145.0,2.0,-3.0,0.0,130.0,115.0,2.0,9.0,0.0,115.0,130.0,2.0,-2.25,3.0,145.0,115.0,1.0,0.0,6.0,130.0,85.0,2.0,-4.5,0.0,115.0,100.0,1.0,0.0,-3.0,85.0,130.0,2.0,-0.75,0.75,145.0,85.0,2.0,4.5,0.0,85.0,115.0,2.0,3.0,-3.0,100.0,115.0,0,1,2,1,115,3,2,6
101,2.0,-2.0,0.0,80.0,70.0,1.0,0.0,-2.0,70.0,90.0,2.0,3.0,0.0,50.0,70.0,2.0,-1.5,2.0,90.0,70.0,1.0,0.0,4.0,80.0,50.0,2.0,2.0,-2.0,60.0,70.0,2.0,-3.0,0.0,70.0,60.0,1.0,0.0,-2.0,50.0,80.0,2.0,-0.5,0.5,90.0,50.0,2.0,6.0,0.0,70.0,80.0,1.0,0.0,2.5,70.0,60.0,0,1,3,1,70,2,1,8
103,2.0,-0.25,0.25,40.0,20.0,1.0,0.0,-1.0,20.0,35.0,1.0,0.0,2.0,35.0,20.0,1.0,-0.75,1.0,40.0,30.0,2.0,1.5,0.0,20.0,30.0,1.0,0.0,1.25,30.0,25.0,2.0,-1.0,0.0,35.0,30.0,1.0,0.0,-1.0,30.0,40.0,2.0,3.0,0.0,30.0,35.0,1.0,-1.5,0.0,30.0,25.0,2.0,1.0,-1.0,25.0,30.0,0,1,2,1,30,1,1,5
105,1.0,0.0,-1.0,35.0,45.0,2.0,-1.0,0.0,40.0,35.0,1.0,0.0,1.25,35.0,30.0,1.0,0.0,2.0,40.0,25.0,2.0,1.0,-1.0,30.0,35.0,1.0,-1.5,0.0,35.0,30.0,2.0,1.5,0.0,25.0,35.0,2.0,3.0,0.0,35.0,40.0,1.0,-0.75,1.0,45.0,35.0,2.0,0.0,-1.0,25.0,40.0,2.0,-0.25,0.25,45.0,25.0,0,1,3,1,35,1,1,8
111,2.0,2.0,-2.0,40.0,50.0,1.0,-3.0,0.0,50.0,40.0,1.0,0.0,-2.0,30.0,60.0,2.0,-0.5,0.5,70.0,30.0,1.0,3.0,0.0,30.0,50.0,1.0,0.0,2.5,50.0,40.0,2.0,-2.0,0.0,60.0,50.0,1.0,0.0,-2.0,50.0,70.0,2.0,0.0,4.0,60.0,30.0,2.0,-1.5,2.0,70.0,50.0,2.0,6.0,0.0,50.0,60.0,0,1,3,1,50,2,1,7
115,2.0,6.0,0.0,80.0,90.0,1.0,0.0,4.0,90.0,60.0,1.0,2.0,-2.0,70.0,80.0,2.0,-3.0,0.0,80.0,70.0,1.0,0.0,-2.0,60.0,90.0,2.0,-1.5,2.0,100.0,80.0,1.0,3.0,0.0,60.0,80.0,1.0,0.0,2.5,80.0,70.0,2.0,-2.0,0.0,90.0,80.0,1.0,0.0,-2.0,80.0,100.0,2.0,-0.5,0.5,100.0,60.0,0,1,3,1,80,2,1,8
117,2.0,-0.75,1.0,40.0,30.0,1.0,0.0,-1.0,30.0,40.0,2.0,-1.0,0.0,35.0,30.0,2.0,0.0,1.25,30.0,25.0,1.0,1.5,0.0,20.0,30.0,2.0,-0.25,0.25,40.0,20.0,1.0,0.0,-1.0,20.0,35.0,2.0,-1.5,0.0,30.0,25.0,1.0,1.0,-1.0,25.0,30.0,2.0,0.0,2.0,35.0,20.0,1.0,3.0,0.0,30.0,35.0,0,1,3,1,30,1,1,8
121,1.0,0.0,-1.0,25.0,35.0,2.0,-1.0,0.0,30.0,25.0,1.0,0.0,1.25,25.0,20.0,2.0,1.5,0.0,15.0,25.0,2.0,-0.25,0.25,35.0,15.0,1.0,0.0,-1.0,15.0,30.0,1.0,-1.5,0.0,25.0,20.0,2.0,1.0,-1.0,20.0,25.0,1.0,0.0,2.0,30.0,15.0,1.0,-0.75,1.0,35.0,25.0,2.0,3.0,0.0,25.0,30.0,0,1,2,1,25,1,3,1
123,1.0,-1.5,2.0,80.0,60.0,2.0,6.0,0.0,60.0,70.0,2.0,2.0,-2.0,50.0,60.0,1.0,-3.0,0.0,60.0,50.0,1.0,0.0,-2.0,40.0,70.0,2.0,-0.5,0.5,80.0,40.0,1.0,0.0,4.0,70.0,40.0,1.0,0.0,2.5,60.0,50.0,2.0,-2.0,0.0,70.0,60.0,1.0,0.0,-2.0,60.0,80.0,2.0,3.0,0.0,40.0,60.0,0,1,2,1,60,2,1,5
124,2.0,0.0,2.5,50.0,40.0,1.0,0.0,-2.0,50.0,70.0,2.0,-2.0,0.0,60.0,50.0,2.0,-1.5,2.0,70.0,50.0,2.0,-3.0,0.0,50.0,40.0,1.0,6.0,0.0,50.0,60.0,1.0,3.0,0.0,30.0,50.0,2.0,-0.5,0.5,70.0,30.0,1.0,0.0,-2.0,30.0,60.0,1.0,2.0,-2.0,40.0,50.0,2.0,0.0,4.0,60.0,30.0,0,1,2,1,50,2,2,5
127,2.0,-3.0,0.0,65.0,55.0,1.0,0.0,-2.0,45.0,75.0,2.0,-0.5,0.5,85.0,45.0,1.0,3.0,0.0,45.0,65.0,2.0,0.0,2.5,65.0,55.0,2.0,-1.5,2.0,85.0,65.0,1.0,0.0,-2.0,65.0,85.0,1.0,6.0,0.0,65.0,75.0,1.0,-2.0,0.0,75.0,65.0,1.0,2.0,-2.0,55.0,65.0,2.0,0.0,4.0,75.0,45.0,0,1,3,1,65,2,2,8
