Cntxt	ID	Choice	x11	x12	x13	x14	x21	x22	x23	x24	x31	x32	x33	x34	AV1	AV2	AV3
1	55	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	55	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	55	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	55	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	55	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	56	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	56	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	56	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	56	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	56	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	56	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	56	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	56	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	56	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	57	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	57	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	57	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	57	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	57	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	57	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	57	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	57	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	57	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	58	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	58	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	58	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	58	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	58	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	58	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	58	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	58	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	58	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	59	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	59	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	59	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	59	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	59	2	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	59	3	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	59	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	59	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	59	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	60	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	60	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	60	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	60	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	60	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	60	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	60	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	60	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	60	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	61	3	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	61	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	61	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	61	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	61	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	61	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	61	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	61	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	61	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	62	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	62	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	62	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	62	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	62	2	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	62	3	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	62	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	62	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	62	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	63	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	63	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	63	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	63	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	63	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	63	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	63	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	63	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	63	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	64	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	64	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	64	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	64	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	64	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	64	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	64	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	64	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	64	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	65	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	65	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	65	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	65	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	65	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	65	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	65	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	65	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	65	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	66	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	66	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	66	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	66	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	66	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	66	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	66	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	66	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	66	1	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	67	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	67	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	67	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	67	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	67	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	67	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	67	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	67	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	67	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	68	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	68	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	68	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	68	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	68	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	68	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	68	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	68	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	68	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	69	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	69	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	69	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	69	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	69	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	69	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	69	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	69	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	69	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	70	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	70	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	70	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	70	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
